id, date , grade,rid,oid
1,2017/4/11,78,5,2
2,2016/5/26,87,6,2
3,2015/3/8,48,6,2
4,2015/5/15,51,4,3
5,2016/4/10,54,7,3
6,2015/12/8,30,8,3
7,2015/10/5,37,7,4
8,2017/8/4,60,6,4
9,2017/9/27,31,2,4
10,2017/5/3,33,8,4
11,2016/6/13,39,1,4
12,2017/9/9,54,6,5
13,2016/9/7,70,7,5
14,2015/5/11,45,4,5
15,2017/13/9,44,4,6
16,2017/3/18,84,1,6
17,2015/3/2,98,8,6
18,2016/13/26,84,6,7
19,2016/4/4,50,10,7
20,2015/2/11,54,2,7
21,2016/6/18,87,9,8
22,2016/3/25,79,10,8
23,2015/3/13,79,10,8
24,2017/7/11,53,7,8
25,2015/3/6,46,2,9
26,2015/6/12,90,1,9
27,2015/8/19,91,7,9
28,2017/13/17,89,1,9
29,2017/6/13,68,1,9
30,2016/11/26,72,10,10
31,2016/12/20,31,3,10
32,2016/13/29,35,5,11
33,2016/10/15,82,1,12
34,2015/3/5,82,3,13
35,2016/10/28,82,10,14
36,2017/5/22,58,10,14
37,2017/1/28,93,1,14
38,2015/9/28,68,2,14
39,2017/9/15,69,2,14
40,2016/2/23,42,9,16
41,2017/1/11,63,8,16
42,2017/2/22,63,3,16
43,2017/9/14,93,2,16
44,2016/10/29,60,4,16
45,2016/10/1,44,6,17
46,2017/12/13,33,8,17
47,2015/4/21,82,1,18
48,2016/6/26,97,2,19
49,2016/12/16,39,6,19
50,2016/9/21,59,3,19
51,2016/4/23,34,4,19
52,2015/10/3,51,4,20
53,2015/6/7,43,2,20
54,2015/12/27,65,1,20
55,2016/8/9,65,6,20
56,2015/5/20,99,5,20
57,2016/11/24,97,10,21
58,2015/8/9,91,10,21
59,2015/8/5,79,7,21
60,2016/1/18,61,2,22
61,2015/13/3,95,4,22
62,2015/6/18,64,4,22
63,2015/9/21,92,10,22
64,2015/1/2,62,6,23
65,2015/5/9,96,1,23
66,2017/13/26,56,5,23
67,2017/13/1,76,5,23
68,2015/1/1,90,9,26
69,2017/7/27,39,6,26
70,2017/7/8,31,3,26
71,2015/5/2,43,10,26
72,2016/5/11,85,4,26
73,2017/9/3,53,9,27
74,2016/4/14,40,1,27
75,2017/3/3,63,3,29
76,2017/2/23,59,6,29
77,2016/9/11,61,3,30
78,2015/6/1,43,7,30
79,2016/6/12,47,6,30
80,2015/2/24,96,8,30
81,2015/12/13,32,8,30
