id,name,abbreviation,post code,street,city,type
1,Organization 1,Org1,65944,King 1,Volos,University
2,Organization 2,Org2,56748,King 1,Volos,Research_center
3,Organization 3,Org3,59703,Magnolia 6,Volos,University
4,Organization 4,Org4,69403,Front Street 10,Arta,Corporation
5,Organization 5,Org5,73580,Sherman 3,Volos,University
6,Organization 6,Org6,13788,Lexington 7,Larisa,University
7,Organization 7,Org7,61307,King 1,Larisa,University
8,Organization 8,Org8,50541,Magnolia 6,Volos,Research_center
9,Organization 9,Org9,86956,Magnolia 6,Thessalonicki,Corporation
10,Organization 10,Org10,54360,Magnolia 6,Arta,Corporation
11,Organization 11,Org11,95017,Laurel 8,Larisa,University
12,Organization 12,Org12,82464,King 1,Athens,Corporation
13,Organization 13,Org13,46517,Laurel 8,Arta,University
14,Organization 14,Org14,77562,Myrtle 9,Arta,Research_center
15,Organization 15,Org15,16930,Hickory 4,Athens,Research_center
16,Organization 16,Org16,24761,Sherman 3,Athens,Research_center
17,Organization 17,Org17,34218,Hickory 4,Larisa,Corporation
18,Organization 18,Org18,67128,Hickory 4,Thessalonicki,Corporation
19,Organization 19,Org19,38642,Redwood 5,Athens,University
20,Organization 20,Org20,68809,King 1,Volos,University
21,Organization 21,Org21,12118,Myrtle 9,Arta,University
22,Organization 22,Org22,64548,Laurel 8,Thessalonicki,Research_center
23,Organization 23,Org23,73117,Myrtle 9,Athens,Research_center
24,Organization 24,Org24,42225,Redwood 5,Larisa,Research_center
25,Organization 25,Org25,33813,Sherman 3,Arta,Research_center
26,Organization 26,Org26,61720,Magnolia 6,Arta,University
27,Organization 27,Org27,44883,Hudson 2,Athens,Research_center
28,Organization 28,Org28,32500,Lexington 7,Thessalonicki,Research_center
29,Organization 29,Org29,25484,King 1,Athens,University
30,Organization 30,Org30,25332,Laurel 8,Larisa,Corporation
