id, date , grade,rid,oid
1,2017/5/17,80,3,2
2,2017/2/23,59,1,2
3,2015/7/5,81,5,2
4,2017/8/6,33,6,3
5,2016/1/21,71,6,3
6,2016/6/12,68,6,3
7,2017/4/23,56,9,3
8,2015/6/12,69,9,4
9,2015/12/23,31,3,4
10,2017/8/26,35,9,4
11,2016/12/25,95,4,5
12,2017/10/25,67,2,5
13,2015/4/25,63,1,6
14,2017/4/27,59,1,6
15,2017/8/25,62,6,7
16,2015/3/29,33,6,8
17,2017/10/20,48,8,8
18,2017/2/2,61,6,8
19,2016/2/19,38,10,8
20,2017/8/25,55,6,8
21,2015/8/8,42,10,9
22,2015/2/25,56,6,11
23,2017/2/5,41,5,12
24,2016/6/18,75,2,12
25,2016/13/17,69,10,12
26,2016/2/8,78,7,14
27,2017/3/15,54,9,15
28,2015/12/11,34,2,21
29,2015/2/20,51,8,22
30,2015/11/8,38,6,22
31,2017/2/15,77,2,22
32,2015/1/14,74,5,22
33,2015/5/5,100,10,22
34,2016/7/21,91,4,23
35,2016/8/10,97,4,24
36,2015/6/20,74,8,24
37,2015/10/12,56,2,24
38,2017/9/22,36,5,25
39,2016/8/26,75,10,25
40,2015/3/28,48,2,25
41,2016/10/14,45,2,26
42,2016/13/4,38,9,26
43,2016/10/17,64,3,26
44,2017/4/12,78,3,27
45,2016/11/9,41,3,29
46,2017/9/21,69,10,29
47,2016/2/7,56,4,30
48,2017/8/10,35,9,30
49,2016/5/7,64,6,30
