id,name,abbreviation,post code,street,city,type
1,Organization 1,Org1,10997,King 1,Volos,Corporation
2,Organization 2,Org2,83448,Redwood 5,Athens,Research_center
3,Organization 3,Org3,10108,Redwood 5,Arta,Corporation
4,Organization 4,Org4,14608,Redwood 5,Athens,University
5,Organization 5,Org5,94834,Front Street 10,Athens,Research_center
6,Organization 6,Org6,55898,Hickory 4,Thessalonicki,University
7,Organization 7,Org7,35306,Myrtle 9,Thessalonicki,Research_center
8,Organization 8,Org8,54945,Front Street 10,Arta,University
9,Organization 9,Org9,80836,Myrtle 9,Athens,University
10,Organization 10,Org10,69037,Lexington 7,Larisa,Corporation
11,Organization 11,Org11,49440,Redwood 5,Thessalonicki,Research_center
12,Organization 12,Org12,72588,Hudson 2,Athens,Research_center
13,Organization 13,Org13,37006,Lexington 7,Arta,Research_center
14,Organization 14,Org14,68752,Hickory 4,Larisa,University
15,Organization 15,Org15,80725,King 1,Athens,University
16,Organization 16,Org16,92607,Magnolia 6,Thessalonicki,University
17,Organization 17,Org17,43880,Myrtle 9,Larisa,University
18,Organization 18,Org18,44482,Redwood 5,Thessalonicki,Research_center
19,Organization 19,Org19,44025,Hudson 2,Larisa,University
20,Organization 20,Org20,76880,Redwood 5,Volos,Corporation
21,Organization 21,Org21,31207,Myrtle 9,Arta,Research_center
22,Organization 22,Org22,56827,Lexington 7,Thessalonicki,Research_center
23,Organization 23,Org23,60153,Hudson 2,Athens,University
24,Organization 24,Org24,80428,Lexington 7,Thessalonicki,Corporation
25,Organization 25,Org25,41945,Lexington 7,Larisa,University
26,Organization 26,Org26,68557,Lexington 7,Athens,Research_center
27,Organization 27,Org27,85173,Hickory 4,Larisa,Corporation
28,Organization 28,Org28,73324,Myrtle 9,Arta,Corporation
29,Organization 29,Org29,96256,Myrtle 9,Athens,Corporation
30,Organization 30,Org30,85372,King 1,Athens,Research_center
