id,name,section
1,Program 1,Section 1
2,Program 2,Section 0
3,Program 3,Section 1
4,Program 4,Section 2
5,Program 5,Section 2
6,Program 6,Section 2
7,Program 7,Section 3
8,Program 8,Section 0
9,Program 9,Section 4
10,Program 10,Section 2
11,Program 11,Section 0
12,Program 12,Section 0
13,Program 13,Section 3
14,Program 14,Section 4
15,Program 15,Section 0
16,Program 16,Section 3
17,Program 17,Section 0
18,Program 18,Section 1
19,Program 19,Section 0
20,Program 20,Section 3
21,Program 21,Section 3
22,Program 22,Section 2
23,Program 23,Section 4
24,Program 24,Section 3
25,Program 25,Section 4
26,Program 26,Section 1
27,Program 27,Section 1
28,Program 28,Section 4
29,Program 29,Section 0
30,Program 30,Section 1
