pid,rid
3,11
3,12
1,13
7,14
5,15
5,16
6,17
4,18
4,19
6,20
7,21
4,22
5,23
7,24
5,25
6,26
7,27
9,28
10,29
8,30
9,31
9,32
11,33
12,34
12,35
11,36
11,37
14,38
13,39
15,40
15,41
15,42
15,43
15,44
18,45
20,46
17,47
19,48
18,49
16,50
19,51
16,52
17,53
20,54
18,55
19,56
21,57
21,58
21,59
21,60
21,61
21,62
21,63
21,64
21,65
22,73
22,74
24,75
25,76
25,77
25,78
23,79
26,86
26,87
27,88
28,118
28,119
28,120
28,121
33,122
29,123
30,124
32,125
31,126
34,127
34,128
34,129
34,130
34,131
34,132
34,133
34,134
34,135
37,136
36,137
36,138
36,139
36,140
35,141
39,142
40,143
38,144
39,145
38,146
39,147
38,148
39,149
40,150
40,151
38,152
42,153
43,154
41,155
41,156
41,157
41,158
41,159
43,160
42,161
41,162
41,163
44,164
44,165
44,166
44,167
44,168
44,169
44,170
44,171
44,172
45,183
46,184
45,185
45,186
48,187
49,188
49,189
47,190
48,191
47,192
